age,family_size,monthly_income,employment_status,assets,liabilities,credit_score,label
56,5,2533.577611910926,employed,3801.073657669558,1058.409552688999,599.132738595214,soft-decline
69,4,100.0,employed,4204.966935477956,697.7072912692747,577.6150216016292,approve
46,5,748.68420530095,employed,1594.4775023983848,1278.298344721146,527.1778342694598,approve
32,4,1162.4899583010688,employed,2135.2684224554423,5.9458569622076025,584.158895980068,approve
60,2,809.3006091289961,employed,963.3018164894813,897.568971343418,539.5087487878369,soft-decline
25,3,947.5624087414869,unemployed,661.9911350036294,1879.97536362169,533.0895340791453,soft-decline
38,4,1403.7867175122155,employed,2560.1470893057403,441.4548704016753,467.835978591547,soft-decline
56,6,100.0,employed,3959.1945711163635,114.61358970407994,741.289334771969,approve
36,7,113.1738699333041,self-employed,2123.0813410769415,546.2408199810484,685.1508753227183,approve
40,1,1030.9815702492303,employed,1433.2026244199296,1298.6661542901,621.7280294097995,reject
28,6,717.048091618473,self-employed,346.14833245126505,113.50605665152334,588.4787230652735,approve
28,6,1090.5878807929184,unemployed,109.88137631748583,230.7329785635864,599.5535761786563,approve
41,7,1159.357297841913,employed,1180.0688232745576,159.64288906828733,537.8472856886102,approve
53,1,100.0,unemployed,101.21771774958927,1594.291971353791,509.29188000123474,approve
57,6,1891.5482325061525,employed,1684.8477971534,64.95740614029792,657.3931290584726,soft-decline
41,4,651.2124818297552,employed,964.8948788114321,1160.2318807931333,579.0221843926192,approve
20,4,394.14077065679544,employed,2830.9448178946236,456.42727956484504,626.0588570423113,approve
39,4,1145.8487071714953,employed,729.5539159775512,1409.7318575279546,467.00488291014506,approve
19,1,1075.0121594475702,self-employed,1797.7991813545568,3334.943985065441,574.7656958420264,reject
41,6,1837.6835723582465,self-employed,1543.011209143854,121.65398013894267,507.7312156450042,soft-decline
61,1,1190.3112139390119,unemployed,9.44712801203812,377.43909319017826,638.7244601875949,reject
47,4,1810.6775936170102,unemployed,150.28648891108242,1661.3915707026122,679.6222282061749,soft-decline
55,7,343.27583720060613,self-employed,686.0181052124921,309.46205846338063,716.7759511371055,approve
19,6,1099.3027386452495,self-employed,4278.129707301683,242.225199811779,549.6816213643314,approve
38,6,219.6766048725775,employed,318.0265275316208,1745.1315144865443,509.76807263741046,approve
50,5,1068.3730988921957,employed,2481.9260383086985,4349.161769967528,566.5125113622186,approve
29,5,919.9984310786801,employed,7251.1758817568125,813.9159970598674,544.054966238903,approve
39,2,889.8918023593678,self-employed,3126.7080776607527,325.797660836014,634.498670091715,soft-decline
61,3,896.030713346857,employed,556.6397014428125,508.4384114261795,487.7774166299278,approve
42,5,1515.4726291292181,employed,4779.889652136094,186.48661146467975,459.6483950175408,soft-decline
66,1,100.0,employed,195.46195947343213,1435.0110993262351,572.28413621141,approve
44,5,370.1484960510792,employed,1262.7572665355713,1484.895629038662,658.1204851519539,approve
59,2,971.5997212783772,employed,4370.349279723178,2080.409949495312,517.8034647127504,soft-decline
45,6,174.9358373701251,employed,2050.3466034727803,26.962815237950263,667.9290636485127,approve
33,2,1032.2798743407309,self-employed,1067.6582568916306,825.4937704864723,629.2270187221548,soft-decline
32,6,964.4032351312477,employed,692.9199234797891,241.1235194507875,723.7436469391499,approve
64,7,100.0,self-employed,940.3253808093018,416.8542420131189,535.8196266850329,approve
68,7,100.0,employed,1422.3851718684823,1536.9108316325155,471.48225065625104,approve
61,6,100.0,employed,768.5149656058662,213.2348702906315,647.8833408172087,approve
69,3,145.53096522266094,employed,6945.463808968019,1017.0555754426193,622.3899630275808,approve
20,5,1010.02628074742,employed,5408.444665478924,1062.9542350939416,616.1998405755616,approve
54,1,1109.3314760586143,employed,4090.798708169192,3081.1575977680263,516.1737836596574,reject
68,1,1141.3296917399155,employed,1095.7741028552887,1492.370370588764,662.0120485860531,reject
24,4,455.4568311328334,employed,2350.7821581181115,1627.7808560708509,549.3259354339943,approve
38,6,987.1875611849574,employed,4662.572251391055,758.4342463586866,616.1648382941306,approve
26,1,1278.071226469017,employed,3799.9746860475634,206.75459588615766,563.2345510599247,reject
56,3,112.37511534919281,self-employed,1069.9873791458779,554.3654849363867,628.3505272227468,approve
35,6,1086.330352073378,unemployed,238.4367414893366,797.3740579436782,504.38956389480086,approve
21,3,1459.536848284564,employed,157.28649638935704,1134.506605763026,639.9742645796795,soft-decline
42,1,656.4595091239835,unemployed,1721.0690371040812,935.7516527300452,652.6071407619154,soft-decline
31,1,1743.5640312447222,employed,2057.95568325077,500.83870763692926,609.2782526626157,reject
67,4,672.795959322521,self-employed,3792.142464665271,308.3108664440457,731.5117380161355,approve
26,1,397.9574014138475,self-employed,692.077759708218,184.20033243256034,616.5728256649904,soft-decline
43,6,1389.7888249870443,self-employed,366.5732219380498,1183.6650310174443,673.5003008029335,approve
19,7,2423.30563862652,employed,952.8671805887683,1036.7611468055463,607.3933438239238,soft-decline
37,6,1059.7475332214663,employed,872.596576071975,1162.7427834847244,666.3519091203777,approve
45,6,1444.435462879604,employed,284.2079598516435,466.05535841976047,477.33565474708604,approve
64,4,643.8979452315092,employed,2231.2075751619914,304.3642122335521,602.6355837900069,approve
24,4,130.86864614278068,employed,1421.3678719434927,1425.9558987346486,509.84517097613104,approve
61,1,1116.3859521305135,employed,2553.9671601149535,1485.6612966854289,611.2341756489428,reject
25,2,1227.0799802515378,employed,869.8633905277812,608.1010857453958,630.7354168008059,soft-decline
64,2,749.4622367331864,employed,788.1668861193549,946.5027657008618,664.5998090436683,soft-decline
52,4,1441.7395626150542,self-employed,1279.500442422533,467.63789257953783,639.1927941124464,soft-decline
31,1,542.143993129976,unemployed,4197.776341550589,1210.48462736538,573.0517628178287,soft-decline
34,2,368.5396139037805,unemployed,82.23013061839991,1806.192709005237,539.7123609311352,approve
53,1,1742.4500513403154,employed,3267.797481065984,1165.5000545956746,412.598120020667,reject
67,1,1745.7433385791414,self-employed,920.8595706927658,718.6344938779378,605.5082062280442,reject
57,1,555.959825915025,unemployed,3856.795147619102,613.7039623763986,691.0289371447227,soft-decline
21,5,2203.195343283375,employed,3241.0281428301364,1028.1155712565758,608.6714773318556,soft-decline
19,6,799.0253152288255,employed,857.7579130750737,1138.843493992831,593.2198647017431,approve
23,1,1059.3480052507712,unemployed,2367.5335581290665,818.0970849065411,611.4445830839528,reject
59,5,940.7432207061005,employed,347.8325767380686,980.6753318112553,568.9832480045523,approve
21,4,1366.6321522119758,employed,4532.150566731371,101.5773281608171,615.5974308672444,soft-decline
46,2,1189.9950456606598,employed,1036.6777703616358,3031.681080993771,567.6029070949927,soft-decline
35,6,1180.5735131071606,employed,1216.2361235288724,1564.335796628947,528.0894880782735,approve
43,7,286.3068577960797,unemployed,2446.712585997461,468.2896904092575,593.9761124286467,approve
61,2,100.0,self-employed,3438.9546776728507,827.3933679119444,592.2317647508266,approve
51,6,1799.5120197770034,employed,539.272414792068,48.48096861854575,750.013606970103,approve
27,7,618.1878007421794,employed,2165.577132728522,42.101786019841434,535.5448005598311,approve
53,2,965.6766385965653,employed,995.1543594671216,288.74708619358717,587.2446636785597,soft-decline
31,6,1228.7592369228466,employed,919.957450675796,1170.2210003701155,579.4667738910783,approve
48,2,2140.3067223444878,employed,2342.532576014411,1911.5417997933255,564.1853733935648,reject
65,2,1112.9505472497556,unemployed,979.3787335925452,819.1319889428761,641.0484191285321,soft-decline
32,7,723.6417059531319,employed,849.6276873606462,759.5706548817591,779.0370414259374,approve
25,2,633.5189330992,employed,3614.417288592937,514.6822740763096,574.3338242663513,soft-decline
31,2,973.850211130643,self-employed,213.55887443769996,176.25752739116194,641.271559329563,soft-decline
40,7,363.4446612515711,employed,2253.3608141528807,125.96477901515173,447.0102407242231,approve
57,4,1020.2130062043071,unemployed,571.9680799588515,1429.9527127212334,568.5176376012774,approve
38,1,963.5862180793902,self-employed,31.239190099992314,2624.2177017222766,724.419291168976,reject
33,3,2149.068864050906,self-employed,364.8773726011558,613.01195357188,595.6015685241615,reject
62,5,941.4792029863553,employed,1866.1695807679087,1077.1805735141872,640.1872012007433,approve
35,3,100.0,employed,2469.7383830077533,2458.74371433157,550.1799091096649,approve
64,3,2871.457679277535,employed,42.565322467436644,94.43555862452101,620.6045753485172,reject
41,6,1669.7836118092678,employed,74.21082602546066,1471.77143845067,730.6220997428866,approve
43,1,2457.6441208669094,self-employed,4656.669882803142,959.2422953790685,507.1933630184718,reject
42,6,189.876009110861,unemployed,152.26333744669364,912.889469804187,774.9234004140632,approve
62,1,844.7212531205956,self-employed,4492.07228132242,346.0747938275864,476.32446544847664,reject
58,7,1472.0808690460235,unemployed,517.9713324796696,1151.6756374496683,561.1598525211593,approve
46,7,1375.4739605991213,self-employed,2694.2842249144433,1583.7592243261618,533.1266252176332,approve
32,1,1214.8563951516862,employed,741.3543207385799,119.75040522103727,578.2031214586206,reject
62,2,100.0,employed,3914.4764993088115,762.54319968781,532.087769974074,approve
18,4,100.0,self-employed,2410.9803460579465,106.76726131336054,526.0224269205642,approve
42,2,2062.2640763447102,employed,1027.7052630754092,2060.219626475227,505.0602715590703,reject
24,4,2186.730673008783,employed,158.74118456456833,708.5384663651434,651.5242902844976,soft-decline
26,6,925.3440959945231,employed,2638.7686874386145,1650.081221152726,580.9633603247536,approve
41,4,1973.2992320844673,unemployed,1918.8388735981218,459.0013966530063,560.0391664240394,soft-decline
18,6,283.7405636996914,employed,5.831930261568854,133.62079869692687,622.5805528465729,approve
61,7,443.90176257192354,self-employed,18.929006837199548,42.38499076452748,480.4291591127552,approve
25,3,228.4037746957954,unemployed,3308.797055911808,330.6029636325599,624.5098035173077,approve
41,7,405.05631801794766,employed,600.5885156363591,280.02307805806043,592.4984479183004,approve
28,7,1505.8872066658334,employed,2021.9373956399284,821.7808131477855,594.9569735976618,approve
68,3,396.35333885558885,employed,1211.0581811216693,21.978607850609645,641.5333400725556,approve
34,4,2567.820127949505,self-employed,3981.836163247707,735.1585160224399,731.4819207034793,soft-decline
25,4,1322.0494244432066,self-employed,4976.892528135594,497.2050431476848,625.8379793563887,soft-decline
52,6,1759.1689325465618,unemployed,11494.035181110308,860.6721958913263,584.0100393756175,approve
52,2,1342.9584079600513,employed,333.72525425633387,1212.0638761124962,505.38844899392524,soft-decline
50,6,1849.9887553214953,employed,3975.023906196675,1005.3731932059462,408.7345659492979,soft-decline
22,2,392.4000003230169,employed,618.5507488008876,4176.273056142155,610.230733373029,approve
59,7,2012.85347673969,self-employed,1787.180081224036,148.80787922888177,499.22933278553063,approve
56,3,1098.6572199140057,employed,1409.5200340517074,561.6576367176895,396.7789236598283,soft-decline
58,7,1846.4862776781174,employed,36.3037694510813,553.0909104483337,571.9303661520594,approve
45,1,100.0,employed,5399.309480810153,539.6593552915303,619.1585388609502,approve
24,4,1126.4082446258542,employed,163.12968388802344,1090.0442752786316,659.5443053228753,approve
26,2,1101.6671017471656,employed,2330.908004445948,673.0074738985015,684.9000570883618,soft-decline
25,6,566.5344745143909,employed,3074.298095354972,728.6345955619827,670.0569730876039,approve
29,3,1219.183180823085,employed,3172.300856540964,566.2608034860868,672.2060023683254,soft-decline
51,2,2077.72479360106,employed,291.195267431222,4791.434828765349,482.55439899290775,reject
50,6,512.6933487258152,self-employed,1186.8569217197044,2625.015265950355,588.0323490074594,approve
65,4,1673.298049343457,unemployed,3537.2057740989408,367.77083248980256,646.3868453275691,soft-decline
40,7,210.8038606974443,employed,721.0194614841405,118.32634858662776,603.7099692116241,approve
41,4,2476.611216249721,self-employed,1261.2789729678223,1831.1120690788866,587.5880578734,soft-decline
54,5,1549.220222905696,employed,637.0906755531687,5867.5674142859425,602.2472015929847,soft-decline
52,1,2207.582132581,employed,1245.5691219846074,346.17157514764926,619.642719856732,reject
61,5,1470.4423633656372,unemployed,4375.620668098535,442.8320249173167,593.8485035651471,approve
57,3,1273.4292244105532,self-employed,1214.394914303686,2841.00772673766,532.2976514072747,soft-decline
39,2,1555.0530583401428,unemployed,1623.465152876878,1241.776850503286,463.77407142899006,reject
44,3,904.48677565208,employed,1034.9496391857613,350.46332147228975,583.6778270823006,soft-decline
52,7,100.0,employed,1232.806337810191,869.9953229344367,604.598620344422,approve
18,6,1313.1795425267546,unemployed,30.5810105479087,2886.511646279122,603.7263665180753,approve
52,4,471.1476657801717,employed,667.4394843134388,1670.3196979637373,676.2336850865769,approve
54,5,228.83665923441845,employed,1147.4659625867112,1354.1475077781001,690.4485040818341,approve
